year,month,item_name,total_sales
2014,1,100% Juice Box Variety 6.75 oz ,1980.0
2014,2,100% Juice Box Variety 6.75 oz ,3360.0
2014,3,100% Juice Box Variety 6.75 oz ,4470.0
2014,4,100% Juice Box Variety 6.75 oz ,3060.0
2014,5,100% Juice Box Variety 6.75 oz ,4500.0
2014,6,100% Juice Box Variety 6.75 oz ,4515.0
2014,7,100% Juice Box Variety 6.75 oz ,4515.0
2014,8,100% Juice Box Variety 6.75 oz ,3780.0
2014,9,100% Juice Box Variety 6.75 oz ,4530.0
2014,10,100% Juice Box Variety 6.75 oz ,5340.0
2014,11,100% Juice Box Variety 6.75 oz ,5055.0
2014,12,100% Juice Box Variety 6.75 oz ,4260.0
2015,1,100% Juice Box Variety 6.75 oz ,4290.0
2015,2,100% Juice Box Variety 6.75 oz ,3495.0
2015,3,100% Juice Box Variety 6.75 oz ,3180.0
2015,4,100% Juice Box Variety 6.75 oz ,3510.0
2015,5,100% Juice Box Variety 6.75 oz ,4335.0
2015,6,100% Juice Box Variety 6.75 oz ,4350.0
2015,7,100% Juice Box Variety 6.75 oz ,5055.0
2015,8,100% Juice Box Variety 6.75 oz ,3960.0
2015,9,100% Juice Box Variety 6.75 oz ,4320.0
2015,10,100% Juice Box Variety 6.75 oz ,3555.0
2015,11,100% Juice Box Variety 6.75 oz ,3810.0
2015,12,100% Juice Box Variety 6.75 oz ,3300.0
2016,1,100% Juice Box Variety 6.75 oz ,4050.0
2016,2,100% Juice Box Variety 6.75 oz ,3795.0
2016,3,100% Juice Box Variety 6.75 oz ,4965.0
2016,4,100% Juice Box Variety 6.75 oz ,4575.0
2016,5,100% Juice Box Variety 6.75 oz ,5820.0
2016,6,100% Juice Box Variety 6.75 oz ,4785.0
2016,7,100% Juice Box Variety 6.75 oz ,3855.0
2016,8,100% Juice Box Variety 6.75 oz ,4515.0
2016,9,100% Juice Box Variety 6.75 oz ,3525.0
2016,10,100% Juice Box Variety 6.75 oz ,3270.0
2016,11,100% Juice Box Variety 6.75 oz ,4815.0
2016,12,100% Juice Box Variety 6.75 oz ,3165.0
2017,1,100% Juice Box Variety 6.75 oz ,3555.0
2017,2,100% Juice Box Variety 6.75 oz ,4110.0
2017,3,100% Juice Box Variety 6.75 oz ,4095.0
2017,4,100% Juice Box Variety 6.75 oz ,3720.0
2017,5,100% Juice Box Variety 6.75 oz ,2595.0
2017,6,100% Juice Box Variety 6.75 oz ,4095.0
2017,7,100% Juice Box Variety 6.75 oz ,2925.0
2017,8,100% Juice Box Variety 6.75 oz ,5010.0
2017,9,100% Juice Box Variety 6.75 oz ,4935.0
2017,10,100% Juice Box Variety 6.75 oz ,4515.0
2017,11,100% Juice Box Variety 6.75 oz ,3810.0
2017,12,100% Juice Box Variety 6.75 oz ,3930.0
2018,1,100% Juice Box Variety 6.75 oz ,4545.0
2018,2,100% Juice Box Variety 6.75 oz ,4425.0
2018,3,100% Juice Box Variety 6.75 oz ,4260.0
2018,4,100% Juice Box Variety 6.75 oz ,4200.0
2018,5,100% Juice Box Variety 6.75 oz ,4395.0
2018,6,100% Juice Box Variety 6.75 oz ,4110.0
2018,7,100% Juice Box Variety 6.75 oz ,3465.0
2018,8,100% Juice Box Variety 6.75 oz ,6000.0
2018,9,100% Juice Box Variety 6.75 oz ,3885.0
2018,10,100% Juice Box Variety 6.75 oz ,3990.0
2018,11,100% Juice Box Variety 6.75 oz ,3465.0
2018,12,100% Juice Box Variety 6.75 oz ,4305.0
2019,1,100% Juice Box Variety 6.75 oz ,5115.0
2019,2,100% Juice Box Variety 6.75 oz ,3375.0
2019,3,100% Juice Box Variety 6.75 oz ,4980.0
2019,4,100% Juice Box Variety 6.75 oz ,4470.0
2019,5,100% Juice Box Variety 6.75 oz ,4995.0
2019,6,100% Juice Box Variety 6.75 oz ,3405.0
2019,7,100% Juice Box Variety 6.75 oz ,4245.0
2019,8,100% Juice Box Variety 6.75 oz ,4035.0
2019,9,100% Juice Box Variety 6.75 oz ,2805.0
2019,10,100% Juice Box Variety 6.75 oz ,5040.0
2019,11,100% Juice Box Variety 6.75 oz ,4785.0
2019,12,100% Juice Box Variety 6.75 oz ,4590.0
2020,1,100% Juice Box Variety 6.75 oz ,4020.0
2020,2,100% Juice Box Variety 6.75 oz ,3810.0
2020,3,100% Juice Box Variety 6.75 oz ,3720.0
2020,4,100% Juice Box Variety 6.75 oz ,5085.0
2020,5,100% Juice Box Variety 6.75 oz ,3585.0
2020,6,100% Juice Box Variety 6.75 oz ,4035.0
2020,7,100% Juice Box Variety 6.75 oz ,5280.0
2020,8,100% Juice Box Variety 6.75 oz ,4305.0
2020,9,100% Juice Box Variety 6.75 oz ,5730.0
2020,10,100% Juice Box Variety 6.75 oz ,4335.0
2020,11,100% Juice Box Variety 6.75 oz ,4215.0
2020,12,100% Juice Box Variety 6.75 oz ,3540.0
2021,1,100% Juice Box Variety 6.75 oz ,1875.0
2014,1,A&W Root Beer - 12 oz cans,1518.0
2014,2,A&W Root Beer - 12 oz cans,2794.5
2014,3,A&W Root Beer - 12 oz cans,2921.0
2014,4,A&W Root Beer - 12 oz cans,3737.5
